"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","M.at_home","M.health","M.other","M.services","M.teacher","F.at_home","F.health","F.other","F.services","F.teacher","g.father","g.mother","g.other","r.course","r.home","r.other","r.reputation"
"1",1,1,18,2,1,1,4,4,2,2,0,2,1,1,1,2,2,1,1,4,3,4,1,1,3,6,5,6,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"2",1,1,17,2,1,2,1,1,1,2,0,1,2,1,1,1,2,2,1,5,3,3,1,1,3,4,5,5,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"3",1,1,15,2,2,2,1,1,1,2,3,2,1,2,1,2,2,2,1,4,3,2,2,3,3,10,7,8,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"4",1,1,15,2,1,2,4,2,1,3,0,1,2,2,2,2,2,2,2,3,2,2,1,1,5,2,15,14,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"5",1,1,16,2,1,2,3,3,1,2,0,1,2,2,1,2,2,1,1,4,3,2,1,2,5,4,6,10,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"6",1,2,16,2,2,2,4,3,1,2,0,1,2,2,2,2,2,2,1,5,4,2,1,2,5,10,15,15,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
"7",1,2,16,2,2,2,2,2,1,2,0,1,1,1,1,2,2,2,1,4,4,4,1,1,3,0,12,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"8",1,1,17,2,1,1,4,4,2,2,0,2,2,1,1,2,2,1,1,4,1,4,1,1,1,6,6,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"9",1,2,15,2,2,1,3,2,1,2,0,1,2,2,1,2,2,2,1,4,2,2,1,1,1,0,16,18,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
"10",1,2,15,2,1,2,3,4,1,2,0,1,2,2,2,2,2,2,1,5,5,1,1,1,5,0,14,15,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"11",1,1,15,2,1,2,4,4,1,2,0,1,2,2,1,2,2,2,1,3,3,3,1,2,2,0,10,8,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
"12",1,1,15,2,1,2,2,1,3,3,0,1,2,1,2,2,2,2,1,5,2,2,1,1,4,4,10,12,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
"13",1,2,15,2,2,2,4,4,1,1,0,1,2,2,2,2,2,2,1,4,3,3,1,3,5,2,14,14,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"14",1,2,15,2,1,2,4,3,2,2,0,1,2,2,1,2,2,2,1,5,4,3,1,2,3,2,10,10,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
"15",1,2,15,2,1,1,2,2,1,3,0,1,2,1,1,2,2,2,2,4,5,2,1,1,3,0,14,16,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"16",1,1,16,2,1,2,4,4,1,1,0,1,2,1,1,2,2,2,1,4,4,4,1,2,2,4,14,14,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"17",1,1,16,2,1,2,4,4,1,3,0,1,2,2,2,2,2,2,1,3,2,3,1,2,2,6,13,14,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
"18",1,1,16,2,1,2,3,3,3,2,0,2,2,1,2,2,2,1,1,5,3,2,1,1,4,4,8,10,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"19",1,2,17,2,1,2,3,2,1,1,3,1,2,1,2,2,2,2,1,5,5,5,2,4,5,16,6,5,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"20",1,2,16,2,2,2,4,3,1,1,0,1,1,2,2,2,2,2,1,3,1,3,1,3,5,4,8,10,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
"21",1,2,15,2,1,2,4,3,1,2,0,1,1,1,1,2,2,2,1,4,4,1,1,1,1,0,13,14,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
"22",1,2,15,2,1,2,4,4,1,1,0,1,2,2,1,2,2,2,1,5,4,2,1,1,5,0,12,15,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"23",1,2,16,2,2,2,4,2,1,2,0,1,1,1,2,2,2,2,1,4,5,1,1,3,5,2,15,15,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
"24",1,2,16,2,2,2,2,2,2,2,0,1,2,1,2,2,2,2,1,5,4,4,2,4,5,0,13,13,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"25",1,1,15,1,1,2,2,4,1,3,0,2,2,2,2,2,2,2,1,4,3,2,1,1,5,2,10,9,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
"26",1,1,16,2,1,2,2,2,1,1,2,1,2,2,1,1,2,2,1,1,2,2,1,3,5,14,6,9,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"27",1,2,15,2,1,2,2,2,1,1,0,1,2,2,1,2,2,2,1,4,2,2,1,2,5,2,12,12,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"28",1,2,15,2,1,2,4,2,1,1,0,1,1,2,1,2,2,2,1,2,2,4,2,4,1,4,15,16,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"29",1,2,16,2,2,1,3,4,1,2,0,2,2,1,2,2,2,2,1,5,3,3,1,1,5,4,11,11,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
"30",1,2,16,2,1,2,4,4,1,2,0,1,2,2,2,2,2,2,2,4,4,5,5,5,5,16,10,12,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
"31",1,2,15,2,1,2,4,4,1,2,0,1,2,2,1,1,2,2,1,5,4,2,3,4,5,0,9,11,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"32",1,2,15,2,1,2,4,4,2,2,0,1,2,1,2,2,2,2,1,4,3,1,1,1,5,0,17,16,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
"33",1,2,15,1,1,2,4,3,1,2,0,1,2,1,2,2,2,2,2,4,5,2,1,1,5,0,17,16,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
"34",1,2,15,2,2,2,3,3,1,2,0,1,1,1,2,1,2,2,1,5,3,2,1,1,2,0,8,10,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"35",1,2,16,2,1,2,3,2,1,1,0,1,2,2,1,1,2,2,1,5,4,3,1,1,5,0,12,14,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"36",1,1,15,2,1,2,2,3,2,1,0,1,2,1,2,2,2,1,1,3,5,1,1,1,5,0,8,7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"37",1,2,15,2,2,2,4,3,1,3,0,1,2,1,2,2,2,2,1,5,4,3,1,1,4,2,15,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
"38",1,2,16,1,1,1,4,4,2,3,0,1,2,1,2,2,2,2,2,2,4,3,1,1,5,7,15,16,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"39",1,1,15,1,1,2,3,4,1,3,0,2,2,2,2,2,2,2,1,4,3,2,1,1,5,2,12,12,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
"40",1,1,15,1,1,2,2,2,1,1,0,2,2,2,2,2,2,1,1,4,3,1,1,1,2,8,14,13,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"41",1,1,16,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,3,3,3,1,2,3,25,7,10,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"42",1,2,15,2,2,2,4,4,1,1,0,1,2,1,1,1,2,2,2,5,4,3,2,4,5,8,12,12,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
"43",1,2,15,2,1,2,4,4,1,2,0,1,2,1,2,2,2,2,1,4,3,3,1,1,5,2,19,18,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
"44",1,2,15,2,1,2,2,2,1,1,0,2,2,1,1,2,2,2,1,5,4,1,1,1,1,0,8,8,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
"45",1,1,16,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,4,3,3,2,2,5,14,10,10,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"46",1,1,15,2,2,1,4,3,1,2,0,2,2,2,2,2,2,2,2,5,2,2,1,1,5,8,8,8,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"47",1,1,16,2,2,1,3,3,1,2,0,1,2,1,1,2,2,2,1,2,3,5,1,4,3,12,11,12,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"48",1,2,16,2,1,2,4,3,1,4,0,1,1,1,2,2,2,2,1,4,2,2,1,1,2,4,19,19,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"49",1,2,15,2,1,2,4,2,1,2,0,1,2,2,1,2,2,1,1,4,3,3,2,2,5,2,15,15,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"50",1,1,15,2,1,2,4,4,1,2,1,2,2,1,2,1,2,2,1,4,4,4,1,1,3,2,7,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
"51",1,1,16,2,2,2,2,2,3,2,0,1,2,2,1,2,2,2,1,4,3,3,2,3,4,2,12,13,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"52",1,1,15,2,2,2,4,2,1,2,0,1,2,2,1,2,2,2,1,4,3,3,1,1,5,2,11,13,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"53",1,2,15,2,2,1,4,2,2,1,1,1,1,1,1,2,2,1,1,5,5,5,3,4,5,6,11,11,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
